Country,iso_country,worldpop_link,meta_link
Northern Mariana Islands,MNP,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/MNP/mnp_ppp_2020.tif,https://data.humdata.org/dataset/83175901-d4c9-4662-8492-5fe17e8035e5/resource/a111413a-19db-4032-b567-57ef8f19f1ce/download/population_mnp_2018-10-01_geotiff.zip
Norway,NOR,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/NOR/nor_ppp_2020.tif,https://data.humdata.org/dataset/1c1a90c0-17ee-4ee7-bb30-aeca9bd92f51/resource/65ef3c3b-0735-4c09-a9d3-3b8c3ba55c03/download/nor_general_2020_geotiff.zip
Oman,OMN,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/OMN/omn_ppp_2020.tif,no file
Pakistan,PAK,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/PAK/pak_ppp_2020.tif,https://data.humdata.org/dataset/2c8cfe67-448f-4a27-94b3-aaa944598cba/resource/e3dbe673-4117-4243-93a8-3366c6e6396b/download/population_ind_pak_general.zip
Palau,PLW,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/PLW/plw_ppp_2020.tif,https://data.humdata.org/dataset/d25ac5bd-a4d1-450a-b24d-6f1c9b6f6087/resource/df72a9f8-6e59-4759-960e-a3d7dd248907/download/population_plw_2018-10-01_geotiff.zip
Panama,PAN,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/PAN/pan_ppp_2020.tif,https://data.humdata.org/dataset/d81c3799-411b-426f-98e7-c4782b893612/resource/4e5832f8-a6a8-4cc6-b8e2-de66ef286a73/download/population_pan_2018-10-01.zip
Papua New Guinea,PNG,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/PNG/png_ppp_2020.tif,no file
Paraguay,PRY,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/PRY/pry_ppp_2020.tif,https://data.humdata.org/dataset/318c589b-9091-4aa4-b384-351208be71e9/resource/ff7ab5de-5e9a-407f-a2ad-36cf6d3cf68b/download/population_pry_2018-10-01.zip
Peru,PER,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/PER/per_ppp_2020.tif,https://data.humdata.org/dataset/4e74db39-87f1-4383-9255-eaf8ebceb0c9/resource/41831c01-87e0-4791-ad03-b0764df74528/download/population_per_2018-10-01.zip
Philippines,PHL,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/PHL/phl_ppp_2020.tif,https://data.humdata.org/dataset/6d9f35c0-4764-49ee-b364-329db0b7a47d/resource/4a178155-b746-4f04-8f1b-2a79cc6f5153/download/population_phl_2018-10-01_geotiff.zip
Pitcairn,PCN,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/PCN/pcn_ppp_2020.tif,no file
Poland,POL,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/POL/pol_ppp_2020.tif,no file
Portugal,PRT,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/PRT/prt_ppp_2020.tif,no file
Puerto Rico,PRI,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/PRI/pri_ppp_2020.tif,https://data.humdata.org/dataset/ea41b712-e41e-4e84-9f5c-ed342b800355/resource/119f796e-b54a-4161-ad0c-053f6a27c5f6/download/population_pri_2018-10-01.zip
Qatar,QAT,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/QAT/qat_ppp_2020.tif,no file
Reunion,REU,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/REU/reu_ppp_2020.tif,https://data.humdata.org/dataset/348b69aa-bf08-40b0-ad32-0b735c58a10d/resource/bb06ab8a-ad60-4f18-9a71-bebd6ced5c72/download/population_reu_2018-10-01.zip
Romania,ROU,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ROU/rou_ppp_2020.tif,no file
Russia,RUS,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/RUS/rus_ppp_2020.tif,no file
Rwanda,RWA,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/RWA/rwa_ppp_2020.tif,https://data.humdata.org/dataset/0ee1affc-6a90-4ad3-b7eb-166645668fc3/resource/a9013c82-cee9-43aa-a741-75a7595ca4fb/download/rwa_general_2020_geotiff.zip
Saint Barthélemy,BLM,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/BLM/blm_ppp_2020.tif,no file
Saint Kitts And Nevis,KNA,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/KNA/kna_ppp_2020.tif,https://data.humdata.org/dataset/0645fa18-489a-4516-8221-91f5c134935b/resource/e7b1c188-99e8-4b6d-99b7-c33c8d2c377f/download/population_kna_2018-10-01.zip
Saint Lucia,LCA,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/LCA/lca_ppp_2020.tif,https://data.humdata.org/dataset/cc06d3ce-7984-494b-8ad3-bd14e7afd183/resource/c503acf3-aa1c-4516-a460-8a20f2924e74/download/population_lca_2018-10-01.zip
Saint Martin,MAF,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/MAF/maf_ppp_2020.tif,no file
Saint Vincent And The Grenadines,VCT,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/VCT/vct_ppp_2020.tif,https://data.humdata.org/dataset/a06f7e33-acab-409b-b244-a0f07b107d49/resource/bffb32d4-9d5a-49e8-be37-26da6d72e4ed/download/population_vct_2018-10-01.zip
Samoa,WSM,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/WSM/wsm_ppp_2020.tif,https://data.humdata.org/dataset/693a4f64-eeca-4ae6-aa89-b7dd56748dc9/resource/7d107d22-fffc-4cd9-b678-fd1f52d63e02/download/population_wsm_2018-10-01_geotiff.zip
San Marino,SMR,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SMR/smr_ppp_2020.tif,https://data.humdata.org/dataset/b8e88655-f5f7-4387-8087-df5da1326283/resource/7111bbc9-1046-427d-b216-9d1c7feeefef/download/population_smr_2019-07-01_geotiff.zip
Sao Tome And Principe,STP,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/STP/stp_ppp_2020.tif,https://data.humdata.org/dataset/f278f368-99a7-4dd1-a807-8d3655d9e2cc/resource/ce3f5db9-c3fe-49e9-b6cc-9ddf7fd3afda/download/population_stp_2019-07-01_geotiff.zip
Saudi Arabia,SAU,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SAU/sau_ppp_2020.tif,https://data.humdata.org/dataset/14b288ca-1855-4025-9f01-41cba548e6f6/resource/44baa2f6-b6d8-4018-b9c6-fd81b493ec22/download/population_sau_2019-07-01_geotiff.zip
Senegal,SEN,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SEN/sen_ppp_2020.tif,https://data.humdata.org/dataset/1beb0579-1f09-45d7-9445-c7716cc1609c/resource/8f69ae9d-9aff-42ed-9855-5f1ca46b092d/download/population_sen_2018-10-01.zip
Serbia,SRB,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SRB/srb_ppp_2020.tif,https://data.humdata.org/dataset/549e124d-e0aa-4260-b6db-066079f1da26/resource/8d423676-a309-4915-8acb-f39ae7935782/download/population_srb_2019-07-01_geotiff.zip
Seychelles,SYC,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SYC/syc_ppp_2020.tif,https://data.humdata.org/dataset/1bcbfcc8-b5c8-4995-aac0-37d9c7ab7f0d/resource/29128f22-9176-4c41-beef-23c8fefcf6b8/download/population_syc_2018-10-01.zip
Sierra Leone,SLE,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SLE/sle_ppp_2020.tif,no file
Singapore,SGP,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SGP/sgp_ppp_2020.tif,https://data.humdata.org/dataset/a9d030f7-c0be-4ecc-b0f1-9c9b30752095/resource/156e8c21-7132-4038-8464-8e903bd9fc07/download/population_sgp_2018-10-01_geotiff.zip
Sint Maarten,SXM,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SXM/sxm_ppp_2020.tif,no file
Slovakia (Slovak Republic),SVK,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SVK/svk_ppp_2020.tif,https://data.humdata.org/dataset/12575600-649e-41bd-91ba-bb69e8082cc1/resource/e7e83be6-ca9f-4519-a28d-a97ac9ef5dc7/download/svk_general_2020_geotiff.zip
Slovenia,SVN,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SVN/svn_ppp_2020.tif,https://data.humdata.org/dataset/6b504dcc-af4d-470b-8732-95de0a5febd3/resource/d55654ef-8455-44ac-8e05-50f9f5dad208/download/population_svn_2019-07-01_geotiff.zip
Solomon Islands,SLB,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SLB/slb_ppp_2020.tif,https://data.humdata.org/dataset/edabfbfd-ae88-414d-acbc-cdeefda09b87/resource/b1d33bfb-0f9d-45c2-8883-562b42b5ffaa/download/population_slb_2018-10-01_geotiff.zip
Somalia,SOM,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SOM/som_ppp_2020.tif,no file
South Africa,ZAF,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ZAF/zaf_ppp_2020.tif,no file
South Georgia And South S.S.,SGS,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SGS/sgs_ppp_2020.tif,no file
South Sudan,SSD,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SSD/ssd_ppp_2020.tif,no file
Spain,ESP,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ESP/esp_ppp_2020.tif,https://data.humdata.org/dataset/80d0519e-0eaf-4c16-a16c-a10ca837a463/resource/8c0dec2f-06e8-45f7-84e4-c44eddbcb777/download/esp_general_2020_geotiff.zip
Sri Lanka,LKA,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/LKA/lka_ppp_2020.tif,https://data.humdata.org/dataset/9950abe7-6717-4cfb-97fc-36faa04ad6b8/resource/13b364c6-ab6d-45ff-912d-0d2f184076eb/download/population_lka_2018-10-01_geotiff.zip
St. Helena,SHN,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SHN/shn_ppp_2020.tif,no file
St. Pierre And Miquelon,SPM,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SPM/spm_ppp_2020.tif,no file
State of Palestine,PSE,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/PSE/pse_ppp_2020.tif,no file
Sudan,SDN,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SDN/sdn_ppp_2020.tif,no file
Suriname,SUR,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SUR/sur_ppp_2020.tif,https://data.humdata.org/dataset/cf175051-1680-4ae1-adff-ba6a59b5f4ba/resource/fbe68e1a-f64f-4ffd-96bc-1880a16ae7a8/download/population_sur_2018-10-01.zip
Svalbard And Jan Mayen Islands,SJM,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SJM/sjm_ppp_2020.tif,no file
Sweden,SWE,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SWE/swe_ppp_2020.tif,https://data.humdata.org/dataset/bdb28c9c-3f48-4740-b6bd-952b2dcf2574/resource/9b6f7654-6f98-4a63-9738-dfcb8f464654/download/swe_general_2020_geotiff.zip
Switzerland,CHE,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/CHE/che_ppp_2020.tif,https://data.humdata.org/dataset/532fdc39-4398-412e-9dce-e057f403dad1/resource/1d4d3340-1f3f-41eb-8343-a54f0182b494/download/che_general_2020_geotiff.zip
Syrian Arab Republic,SYR,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SYR/syr_ppp_2020.tif,no file
"Taiwan, Province Of China",TWN,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/TWN/twn_ppp_2020.tif,https://data.humdata.org/dataset/d2def60b-e731-4c28-8a80-2fb9084ed2ba/resource/8a3702dd-49ac-400e-9850-29ee50416047/download/population_twn_2018-10-01_geotiff.zip
Tajikistan,TJK,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/TJK/tjk_ppp_2020.tif,https://data.humdata.org/dataset/d2b6178a-e222-41a7-81f9-a921593f622b/resource/b4e2d072-6489-4d08-8d6b-8fadcaae9fa0/download/population_tjk_2018-10-01_geotiff.zip
Thailand,THA,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/THA/tha_ppp_2020.tif,https://data.humdata.org/dataset/1ec16b2b-2a1d-4cf7-b766-0460b27b89ea/resource/c45c9659-5708-4e88-a589-6a5a8b0a0d81/download/tha_general_2020_geotiff.zip
Timor-Leste,TLS,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/TLS/tls_ppp_2020.tif,https://data.humdata.org/dataset/95c6e737-f0b6-47ae-af5c-292838523a34/resource/6a663af2-f7c4-4627-b9ec-b459ac6a5aef/download/tls_population_2020_geotiff.zip
Togo,TGO,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/TGO/tgo_ppp_2020.tif,https://data.humdata.org/dataset/8cf70048-9c3c-4cbd-b105-145bf5245794/resource/bd118ffb-f959-4766-b9d0-d0ea606d7346/download/population_tgo_2019-07-01_geotiff.zip
Tokelau,TKL,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/TKL/tkl_ppp_2020.tif,no file
Tonga,TON,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/TON/ton_ppp_2020.tif,https://data.humdata.org/dataset/dbde80e6-63f3-4c3e-86f9-ad60142240c9/resource/72a55887-c02e-433c-997f-e335fe5dd5f2/download/population_ton_2018-10-01_geotiff.zip
Trinidad And Tobago,TTO,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/TTO/tto_ppp_2020.tif,https://data.humdata.org/dataset/33a00cd9-eb08-4236-bcad-207a52e20c83/resource/978044d1-876f-46ba-99f2-5d620aeb848f/download/population_tto_2018-10-01.zip
Tunisia,TUN,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/TUN/tun_ppp_2020.tif,https://data.humdata.org/dataset/0ac92efb-7ec8-44cb-a443-0be3bb781cc4/resource/c4e7847a-5398-44da-a6c9-01e5c9151fb5/download/population_tun_2018-10-01.zip
Turkey,TUR,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/TUR/tur_ppp_2020.tif,https://data.humdata.org/dataset/dd6ae158-e35b-45e2-8eb8-dca248b8c3d6/resource/9a0963d3-60ad-40e7-83d0-d15d9f492fb4/download/population_turkey_2020_tif.zip
Turkmenistan,TKM,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/TKM/tkm_ppp_2020.tif,https://data.humdata.org/dataset/84000d56-875c-41c9-aa00-226f5245f32b/resource/77e12496-a2a0-4800-af62-0a4e19d837c9/download/population_tkm_2018-10-01_geotiff.zip
Turks And Caicos Islands,TCA,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/TCA/tca_ppp_2020.tif,https://data.humdata.org/dataset/9e522af0-abb1-4d72-8c00-5d1220419fa7/resource/a163a664-1ce1-437a-aec0-47f5a52b168c/download/population_tca_2018-10-01.zip
Tuvalu,TUV,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/TUV/tuv_ppp_2020.tif,https://data.humdata.org/dataset/4add55d4-62f4-43a4-b0c8-5bd039d00b41/resource/e39add10-804f-4b8c-af1e-a344d72c1426/download/population_tuv_2018-10-01_geotiff.zip
U.S. Minor Islands,UMI,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/UMI/umi_ppp_2020.tif,no file
Uganda,UGA,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/UGA/uga_ppp_2020.tif,https://data.humdata.org/dataset/b6cfde40-03c6-4ad6-b5d6-b30828b21771/resource/38cb12c0-ad13-42e5-9105-c72ba6e7f236/download/uga_general_2020_geotiff.zip
Ukraine,UKR,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/UKR/ukr_ppp_2020.tif,no file
United Arab Emirates,ARE,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ARE/are_ppp_2020.tif,https://data.humdata.org/dataset/92e524f6-c0a9-4e9a-95df-5fefb6a340e1/resource/ec8196bf-4471-4426-92dd-b49b4779084c/download/are_general_2020_geotiff.zip
United Kingdom,GBR,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/GBR/gbr_ppp_2020.tif,https://data.humdata.org/dataset/b9a7b4a3-75a7-4de1-b741-27d78e8d0564/resource/9007503c-5bf3-450f-8f3f-ca06682f0192/download/population_gbr_2019-07-01_geotiff.zip
United Republic of Tanzania,TZA,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/TZA/tza_ppp_2020.tif,https://data.humdata.org/dataset/385d61e2-e5bf-4dc2-87b4-a31030fdb334/resource/73b7df87-b9dc-4d08-988d-07ab8a79581d/download/population_tza_2018-10-01.zip
United States,USA,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/USA/usa_ppp_2020.tif,no file
Uruguay,URY,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/URY/ury_ppp_2020.tif,https://data.humdata.org/dataset/61e8075b-5c42-495a-98eb-01b3e819dcb5/resource/4201376a-7f94-4186-ab05-1f4c0240eabc/download/population_ury_2018-10-01.zip
Uzbekistan,UZB,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/UZB/uzb_ppp_2020.tif,https://data.humdata.org/dataset/fe85f110-9b9d-42b8-884f-6add14ec7bb0/resource/8a2d743a-801d-4215-8b2d-8793672d3f1b/download/population_uzb_2018-10-01_geotiff.zip
Vanuatu,VUT,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/VUT/vut_ppp_2020.tif,https://data.humdata.org/dataset/111c6dda-37f5-459f-863e-39075f1f4f56/resource/775690b8-e8e0-4479-aabb-f6466ee738ed/download/population_vut_2018-10-01_geotiff.zip
Venezuela,VEN,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/VEN/ven_ppp_2020.tif,no file
Viet Nam,VNM,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/VNM/vnm_ppp_2020.tif,https://data.humdata.org/dataset/191b04c5-3dc7-4c2a-8e00-9c0bdfdfbf9d/resource/fade8620-0935-4d26-b0c6-15515dd4bf8b/download/population_vnm_2018-10-01_geotiff.zip
Virgin Islands (British),VGB,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/VGB/vgb_ppp_2020.tif,https://data.humdata.org/dataset/0b8ad901-2b8f-4a45-ab7e-81fc3962fa0b/resource/7361550c-ee24-4367-bcae-20decaa4f2e1/download/population_vgb_2018-10-01.zip
Virgin Islands (U.S.),VIR,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/VIR/vir_ppp_2020.tif,https://data.humdata.org/dataset/181292bc-e289-4855-8b64-05655575117f/resource/007396c5-724a-4c8f-a464-95bf35354a48/download/population_vir_2018-10-01.zip
Wallis And Futuna Islands,WLF,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/WLF/wlf_ppp_2020.tif,https://data.humdata.org/dataset/6f03111f-7f16-4e1e-a9c3-a07b6ce1478b/resource/a5b4e955-18dd-4166-b2e7-df0e4117c116/download/population_wlf_2018-10-01_geotiff.zip
Western Sahara,ESH,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ESH/esh_ppp_2020.tif,no file
World,0_Mosaicked,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/0_Mosaicked/ppp_2020_1km_Aggregated.tif,no file
Yemen,YEM,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/YEM/yem_ppp_2020.tif,no file
Zambia,ZMB,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ZMB/zmb_ppp_2020.tif,https://data.humdata.org/dataset/0f8c218d-73f4-4d6b-b741-014f5d5a4e96/resource/f953c75d-7a68-4291-bac0-b49abd7eda40/download/zmb_general_2020_geotiff.zip
Zimbabwe,ZWE,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ZWE/zwe_ppp_2020.tif,no file
Åland Islands,ALA,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ALA/ala_ppp_2020.tif,no file
